java.lang.ref.Reference$ReferenceHandler.run;java.lang.ref.Reference.processPendingReferences;java.lang.ref.Reference.waitForReferencePendingList,0.0000
java_shootout_benchmarks.spectral_norm.spectralnorm.main;java_shootout_benchmarks.spectral_norm.spectralnorm.eval_AtA_times_u;java_shootout_benchmarks.spectral_norm.spectralnorm.eval_At_times_u,4.4945
java_shootout_benchmarks.spectral_norm.spectralnorm.main;java_shootout_benchmarks.spectral_norm.spectralnorm.eval_AtA_times_u;java_shootout_benchmarks.spectral_norm.spectralnorm.eval_A_times_u,1.2258
